	ISU_CD	ISU_SRT_CD	ISU_NM	ISU_ABBRV	ISU_ENG_NM	LIST_DD	MKT_TP_NM	SECUGRP_NM	SECT_TP_NM	KIND_STKCERT_TP_NM	PARVAL	LIST_SHRS	KOSPI200
2479	KR7096240007	096240	크레버스	크레버스	Creverse	20080627	KOSDAQ	주권	우량기업부	보통주	500	11138180	
2480	KR7040350001	040350	크레오에스지	크레오에스지	CreoSG	20020110	KOSDAQ	주권	투자주의환기종목(소속부없음)	보통주	500	97602661	
2481	KR7110790003	110790	크리스에프앤씨	크리스에프앤씨	CreaS F&C Co., Ltd.	20181001	KOSDAQ	주권	우량기업부	보통주	500	23430960	
2482	KR7045520004	045520	크린앤사이언스	크린앤사이언스	Clean & Science Co., Ltd	20001205	KOSDAQ	주권	중견기업부	보통주	500	6500000	
2483	KR7214150005	214150	클래시스	클래시스	CLASSYS Inc.	20150403	KOSDAQ	주권	우량기업부	보통주	100	65505659	
2484	KR7466100005	466100	클로봇	클로봇	CLOBOT Co., Ltd	20241028	KOSDAQ	주권	기술성장기업부	보통주	500	24992139	
2485	KR7237880000	237880	클리오	클리오	CLIO Cosmetics Co., Ltd	20161109	KOSDAQ	주권	우량기업부	보통주	500	18071353	
2486	KR7139670004	139670	키네마스터	키네마스터	KineMaster Corporation	20111202	KOSDAQ	주권	중견기업부	보통주	500	14118810	
2487	KR7475430005	475430	키스트론	키스트론	KISTRON Co., Ltd.	20250602	KOSDAQ	주권	중견기업부	보통주	500	17848110	
2488	KR7487720005	487720	키움제10호기업인수목적	키움제10호스팩	Kiwoom No.10 Special Purpose Acquisition Company	20241220	KOSDAQ	주권	SPAC(소속부없음)	보통주	100	4230000	
2489	KR7489480004	489480	키움제11호기업인수목적	키움제11호스팩	Kiwoom No.11 Special Purpose Acquisition Company	20241211	KOSDAQ	주권	SPAC(소속부없음)	보통주	100	6600000	
2490	KR7466690005	466690	키움히어로제1호기업인수목적	키움히어로제1호스팩	Kiwoom Hero No.1 Special Purpose Acquisition Company	20251212	KOSDAQ	주권	SPAC(소속부없음)	보통주	100	5095000	
2491	KR7054780002	054780	키이스트	키이스트	KEYEAST Co., Ltd.	20031114	KOSDAQ	주권	중견기업부	보통주	500	19657793	
2492	KR7256940008	256940	킵스바이오파마	킵스파마	Keeps Biopharma	20170906	KOSDAQ	주권	벤처기업부	보통주	500	20078147	
2493	KR7219130002	219130	타이거일렉	타이거일렉	TigerElec Co.,Ltd.	20150925	KOSDAQ	주권	중견기업부	보통주	500	6314290	
2494	KR7336680004	336680	탑런토탈솔루션	탑런토탈솔루션	TOP RUN TOTAL SOLUTION CO.,LTD	20241101	KOSDAQ	주권	중견기업부	보통주	500	39145558	
2495	KR7360070007	360070	탑머티리얼	탑머티리얼	TOP MATERIAL Co.,Ltd	20221018	KOSDAQ	주권	우량기업부	보통주	500	8145043	
2496	KR7065130007	065130	탑엔지니어링	탑엔지니어링	Top Engineering Company Limited	20030129	KOSDAQ	주권	중견기업부	보통주	500	16004000	
2497	KR7134580000	134580	탑코미디어	탑코미디어	Topco Media	20131126	KOSDAQ	주권	중견기업부	보통주	500	49294149	
2498	KR7023160005	023160	태광	태광	T. K. CORPORATION	19940907	KOSDAQ	주권	우량기업부	보통주	500	26500000	
2499	KR7323280008	323280	태성	태성	TAESUNG	20190624	KOSDAQ	주권	중견기업부	보통주	100	30500730	
2500	KR7053620001	053620	태양	태양	TAEYANG Corporation	20010807	KOSDAQ	주권	우량기업부	보통주	500	8600000	
2501	KR7044490001	044490	태웅	태웅	TAEWOONG CO., LTD.	20011108	KOSDAQ	주권	우량기업부	보통주	500	20007381	
2502	KR7124560004	124560	태웅로직스	태웅로직스	Taewoong Logistics Co., Ltd.	20191210	KOSDAQ	주권	우량기업부	보통주	100	38720811	
2503	KR7191420009	191420	테고사이언스	테고사이언스	Tego Science, Inc.	20141106	KOSDAQ	주권	벤처기업부	보통주	500	8108834	
2504	KR8826050005	950250	테라뷰홀딩스	테라뷰	TERAVIEW HOLDINGS PLC	20251209	KOSDAQ	주식예탁증권	기술성장기업부	보통주	0	35517731	
2505	KR7073640005	073640	테라사이언스	테라사이언스	TERA SCIENCE Co.,LTD	20040106	KOSDAQ	주권	관리종목(소속부없음)	보통주	100	106378770	
2506	KR7066700006	066700	테라젠이텍스	테라젠이텍스	THERAGEN ETEX CO.,LTD.	20040527	KOSDAQ	주권	벤처기업부	보통주	500	37152376	
2507	KR7095610002	095610	테스	테스	TES CO., LTD.	20080520	KOSDAQ	주권	우량기업부	보통주	500	19768226	
2508	KR7064520000	064520	테크엘	테크엘	TechL	20021204	KOSDAQ	주권	중견기업부	보통주	500	22351062	
2509	KR7089030001	089030	테크윙	테크윙	Techwing, Inc.	20111110	KOSDAQ	주권	중견기업부	보통주	500	37053645	
2510	KR7054450002	054450	텔레칩스	텔레칩스	Telechips Inc.	20041210	KOSDAQ	주권	우량기업부	보통주	500	15144233	
2511	KR7200230001	200230	텔콘알에프제약	텔콘RF제약	TELCON RF PHARMACEUTICAL. Inc.	20141124	KOSDAQ	주권	중견기업부	보통주	1000	68523533	
2512	KR7393210000	393210	토마토시스템	토마토시스템	TOMATOSYSTEM Co.,Ltd.	20230427	KOSDAQ	주권	기술성장기업부	보통주	500	15614544	
2513	KR7475960001	475960	토모큐브	토모큐브	Tomocube, Inc.	20241107	KOSDAQ	주권	기술성장기업부	보통주	500	13321774	
2514	KR7215480005	215480	토박스코리아	토박스코리아	TOEBOX KOREA, Ltd.	20150513	KOSDAQ	주권	중견기업부	보통주	500	9180000	
2515	KR7051360006	051360	토비스	토비스	TOVIS Co., LTD	20041119	KOSDAQ	주권	우량기업부	보통주	500	15827058	
2516	KR7045340007	045340	토탈소프트뱅크	토탈소프트	TOTAL SOFT BANK LTD.	20020719	KOSDAQ	주권	벤처기업부	보통주	500	8558040	
2517	KR7108230004	108230	톱텍	톱텍	TOPTEC COMPANY,LIMITED	20090915	KOSDAQ	주권	우량기업부	보통주	500	38023245	
2518	KR7079970000	079970	투비소프트	투비소프트	TOBESOFT Co.,Ltd.	20100601	KOSDAQ	주권	관리종목(소속부없음)	보통주	500	12829234	
2519	KR7199800004	199800	툴젠	툴젠	ToolGen Incorporated	20211210	KOSDAQ	주권	기술성장기업부	보통주	500	8968285	
2520	KR7417790003	417790	트루엔	트루엔	TRUEN Co., Ltd	20230517	KOSDAQ	주권	벤처기업부	보통주	100	10468391	
2521	KR7290090000	290090	트윔	트윔	TWIM Corp	20211117	KOSDAQ	주권	벤처기업부	보통주	500	7440268	
2522	KR7026150003	026150	특수건설	특수건설	TuksuConstruction	19970806	KOSDAQ	주권	중견기업부	보통주	500	17546331	
2523	KR7464280007	464280	티디에스팜	티디에스팜	TDSPHARM Co., Ltd.	20240821	KOSDAQ	주권	중견기업부	보통주	100	5530000	
2524	KR7117730002	117730	티로보틱스	티로보틱스	T-Robotics co., Ltd.	20181129	KOSDAQ	주권	벤처기업부	보통주	500	21780549	
2525	KR7033830001	033830	티비씨	티비씨	TBC	20101129	KOSDAQ	주권	중견기업부	보통주	500	100000000	
2526	KR7057680001	057680	티사이언티픽	티사이언티픽	T Scientific Co.,Ltd	20020618	KOSDAQ	주권	벤처기업부	보통주	500	71248501	
2527	KR7204610000	204610	티쓰리엔터테인먼트	티쓰리	T3 Entertainment Inc.	20221117	KOSDAQ	주권	벤처기업부	보통주	100	58691720	
2528	KR7125020008	125020	티씨머티리얼즈	티씨머티리얼즈	TC Materials Co., Ltd.	20250515	KOSDAQ	주권	중견기업부	보통주	500	35038550	
2529	KR7064760002	064760	티씨케이	티씨케이	TOKAI CARBON KOREA CO., LTD	20030818	KOSDAQ	주권	우량기업부	보통주	500	11675000	
2530	KR7246710008	246710	티앤알바이오팹	티앤알바이오팹	T&R Biofab Co., Ltd	20181128	KOSDAQ	주권	기술성장기업부	보통주	500	45850836	
2531	KR7340570001	340570	티앤엘	티앤엘	T&L Co., LTD.	20201120	KOSDAQ	주권	우량기업부	보통주	500	8128000	
2532	KR7043220003	043220	티에스넥스젠	티에스넥스젠	TS Nexgen	20010703	KOSDAQ	주권	관리종목(소속부없음)	보통주	500	15922416	
2533	KR7277880001	277880	티에스아이	티에스아이	TSI Co., Ltd.	20200722	KOSDAQ	주권	우량기업부	보통주	500	20206248	
2534	KR7131290009	131290	티에스이	티에스이	TSE CO.,Ltd	20110105	KOSDAQ	주권	우량기업부	보통주	500	11061429	
2535	KR7246690002	246690	티에스인베스트먼트	TS인베스트먼트	T.S.Investment Corporation	20161215	KOSDAQ	주권	중견기업부	보통주	500	41477862	
2536	KR7317240000	317240	티에스트릴리온	TS트릴리온	TS Trillion Co., Ltd.	20190429	KOSDAQ	주권	벤처기업부	보통주	100	115808012	
2537	KR7425420007	425420	티에프이	티에프이	TFE Co., Ltd.	20221117	KOSDAQ	주권	우량기업부	보통주	100	11960710	
2538	KR7484810007	484810	티엑스알로보틱스	티엑스알로보틱스	TXR Robotics Co., Ltd.	20250320	KOSDAQ	주권	중견기업부	보통주	500	15450915	
2539	KR7131100000	131100	티엔엔터테인먼트	티엔엔터테인먼트	TN entertainment	20110614	KOSDAQ	주권	중견기업부	보통주	500	32246724	
2540	KR7356860007	356860	티엘비	티엘비	TLB Co., Ltd.	20201214	KOSDAQ	주권	우량기업부	보통주	500	9832630	
2541	KR7321550006	321550	티움바이오	티움바이오	TiumBio Co., Ltd.	20191122	KOSDAQ	주권	기술성장기업부	보통주	500	28478237	
2542	KR7425040003	425040	티이엠씨	티이엠씨	TEMC Co., Ltd.	20230119	KOSDAQ	주권	기술성장기업부	보통주	500	21329082	
2543	KR7241790005	241790	티이엠씨씨엔에스	티이엠씨씨엔에스	TEMC CNS	20161201	KOSDAQ	주권	우량기업부	보통주	500	10002634	
2544	KR7032540007	032540	티제이미디어	TJ미디어	TJ MEDIA CO.,LTD	19970416	KOSDAQ	주권	우량기업부	보통주	500	13931609	
2545	KR7022220008	022220	티케이지애강	티케이지애강	TKG AIKANG	20060411	KOSDAQ	주권	중견기업부	보통주	500	51794579	
2546	KR7104480009	104480	티케이케미칼	티케이케미칼	TK CHEMICAL CORPORATION	20110426	KOSDAQ	주권	우량기업부	보통주	500	90895434	
2547	KR7081150005	081150	티플랙스	티플랙스	Tplex Co., Ltd.	20090423	KOSDAQ	주권	우량기업부	보통주	500	24268402	
2548	KR7130740004	130740	티피씨	티피씨글로벌	TPC Co., Ltd.	20110208	KOSDAQ	주권	중견기업부	보통주	500	11276679	
2549	KR7048770002	048770	티피씨메카트로닉스	TPC	TPC Mechatronics Corporation	20010116	KOSDAQ	주권	벤처기업부	보통주	500	15697991	
2550	KR7084730001	084730	팅크웨어	팅크웨어	Thinkware Systems Corporation	20060519	KOSDAQ	주권	우량기업부	보통주	500	11109424	
2551	KR7440110005	440110	파두	파두	FADU INC.	20230807	KOSDAQ	주권	기술성장기업부	보통주	100	49493293	
2552	KR7288330004	288330	파라택시스 코리아	파라택시스코리아	PARATAXIS KOREA	20191220	KOSDAQ	주권	관리종목(소속부없음)	보통주	500	87605864	
2553	KR7033540006	033540	파라텍	파라텍	Paratech Company Limited	19971226	KOSDAQ	주권	중견기업부	보통주	500	37751063	
2554	KR7388870008	388870	파로스아이바이오	파로스아이바이오	Pharos iBio Co., Ltd.	20230727	KOSDAQ	주권	기술성장기업부	보통주	500	12945932	
2555	KR7043200005	043200	파루	파루	PARU CO., LTD.	20000719	KOSDAQ	주권	벤처기업부	보통주	500	41804315	
2556	KR7214450009	214450	파마리서치	파마리서치	PharmaResearch	20150724	KOSDAQ	주권	우량기업부	보통주	500	10389648	
2557	KR7208340000	208340	파멥신	파멥신	PharmAbcine Inc.	20181121	KOSDAQ	주권	관리종목(소속부없음)	보통주	500	80201108	
2558	KR7177830007	177830	파버나인	파버나인	PAVONINE CO., LTD.	20140804	KOSDAQ	주권	우량기업부	보통주	500	13493951	
2559	KR7037070000	037070	파세코	파세코	PASECO CO.LTD	20000104	KOSDAQ	주권	중견기업부	보통주	500	20000000	
2560	KR7150900009	150900	파수	파수	FASOO Co.,Ltd.	20131018	KOSDAQ	주권	벤처기업부	보통주	500	11703922	
2561	KR7037030004	037030	파워넷	파워넷	POWERNET TECHNOLOGIES CORPORATION	20180607	KOSDAQ	주권	우량기업부	보통주	1000	25199918	
2562	KR7047310008	047310	파워로직스	파워로직스	POWER LOGICS	20030725	KOSDAQ	주권	중견기업부	보통주	500	36610755	
2563	KR7368770004	368770	파이버프로	파이버프로	FIBERPRO	20210121	KOSDAQ	주권	벤처기업부	보통주	100	32854225	
2564	KR7170790000	170790	파이오링크	파이오링크	Piolink, Inc.	20130801	KOSDAQ	주권	우량기업부	보통주	500	6397335	
2565	KR7049120009	049120	파인디앤씨	파인디앤씨	FINE DNC CO.,LTD.	20010726	KOSDAQ	주권	벤처기업부	보통주	500	53008319	
2566	KR7038950002	038950	파인디지털	파인디지털	FINEDIGITAL Inc.	20000504	KOSDAQ	주권	중견기업부	보통주	500	10210765	
2567	KR7387570005	387570	파인메딕스	파인메딕스	Finemedix Co., Ltd.	20241226	KOSDAQ	주권	기술성장기업부	보통주	100	5625900	
2568	KR7441270006	441270	파인엠텍	파인엠텍	Fine M-Tec Co.,Ltd.	20221007	KOSDAQ	주권	중견기업부	보통주	500	39468030	
2569	KR7106240005	106240	파인테크닉스	파인테크닉스	FINE TECHNIX CO., LTD	20090316	KOSDAQ	주권	우량기업부	보통주	500	16999340	
2570	KR7131760001	131760	파인텍	파인텍	FINETEK CO., LTD.	20150817	KOSDAQ	주권	벤처기업부	보통주	500	43431583	
2571	KR7065690000	065690	파커스	파커스	PAKERS CO., Ltd.	20020716	KOSDAQ	주권	투자주의환기종목(소속부없음)	보통주	500	14049331	
2572	KR7140860008	140860	파크시스템스	파크시스템스	Park Systems Corp.	20151217	KOSDAQ	주권	우량기업부	보통주	500	6996477	
2573	KR7091700005	091700	파트론	파트론	PARTRON CO., LTD	20061213	KOSDAQ	주권	우량기업부	보통주	500	55000000	
2574	KR7032800005	032800	판타지오	판타지오	Fantagio Corp.	19970626	KOSDAQ	주권	중견기업부	보통주	500	45957058	
2575	KR7318010006	318010	팜스빌	팜스빌	Pharmsville Co., Ltd.	20191022	KOSDAQ	주권	중견기업부	보통주	500	7929338	
2576	KR7027710003	027710	팜스토리	팜스토리	FarmStory CO.,LTD.	19960706	KOSDAQ	주권	중견기업부	보통주	500	111416600	
2577	KR7225590009	225590	패션플랫폼	패션플랫폼	Fashion Platform Co.,Ltd.	20151005	KOSDAQ	주권	우량기업부	보통주	100	26636713	
2578	KR7054300009	054300	팬스타엔터프라이즈	팬스타엔터프라이즈	Panstar Enterprise Co., Ltd.	20020110	KOSDAQ	주권	벤처기업부	보통주	500	115741890	
2579	KR7068050004	068050	팬엔터테인먼트	팬엔터테인먼트	PAN ENTERTAINMENT CO., LTD.	20060707	KOSDAQ	주권	중견기업부	보통주	500	27694076	
2580	KR7222110009	222110	팬젠	팬젠	Pangen Biotech Inc.	20160311	KOSDAQ	주권	기술성장기업부	보통주	500	13494197	
2581	KR7271830002	271830	팸텍	팸텍	PAMTEK CO., LTD.	20230523	KOSDAQ	주권	벤처기업부	보통주	100	29490202	
2582	KR7263750002	263750	펄어비스	펄어비스	PearlAbyss Corp.	20170914	KOSDAQ	주권	우량기업부	보통주	100	64247855	
2583	KR7251970000	251970	펌텍코리아	펌텍코리아	PUM-TECH KOREA CO., LTD.	20190704	KOSDAQ	주권	우량기업부	보통주	500	12400000	
2584	KR70015S0005	0015S0	페스카로	페스카로	FESCARO Co., Ltd.	20251210	KOSDAQ	주권	기술성장기업부	보통주	500	9662730	
2585	KR7168360006	168360	펨트론	펨트론	PEMTRON Corporation	20221124	KOSDAQ	주권	우량기업부	보통주	500	21288284	
2586	KR7087010005	087010	펩트론	펩트론	Peptron, Inc.	20150722	KOSDAQ	주권	기술성장기업부	보통주	500	23317350	
2587	KR7064800006	064800	포니링크	포니링크	PonyLink	20020822	KOSDAQ	주권	중견기업부	보통주	100	127807298	
2588	KR7119500007	119500	포메탈	포메탈	FORMETAL CO., LTD	20100917	KOSDAQ	주권	중견기업부	보통주	500	11847232	
2589	KR7389140005	389140	포바이포	포바이포	4by4 Inc.	20220428	KOSDAQ	주권	벤처기업부	보통주	500	11169735	
2590	KR7105760003	105760	포스뱅크	포스뱅크	POSBANK CO., LTD.	20240129	KOSDAQ	주권	벤처기업부	보통주	500	10172387	
2591	KR7189690001	189690	포시에스	포시에스	FORCS Co., Ltd.	20150211	KOSDAQ	주권	벤처기업부	보통주	500	27321969	
2592	KR7318020005	318020	포인트모바일	포인트모바일	POINT MOBILE Co., Ltd.	20201203	KOSDAQ	주권	벤처기업부	보통주	100	12301272	
2593	KR7256630005	256630	포인트엔지니어링	포인트엔지니어링	POINT ENGINEERING Co., Ltd.	20170502	KOSDAQ	주권	벤처기업부	보통주	100	57997072	
2594	KR7331380006	331380	포커스에이아이	포커스에이아이	FOCUS AI	20191002	KOSDAQ	주권	투자주의환기종목(소속부없음)	보통주	100	26048151	
2595	KR7208710004	208710	포톤	포톤	PHOTON	20141224	KOSDAQ	주권	중견기업부	보통주	500	13180132	
2596	KR7472850007	472850	폰드그룹	폰드그룹	POND GROUP CO., LTD.	20240202	KOSDAQ	주권	중견기업부	보통주	500	32343933	
2597	KR7234100006	234100	폴라리스세원	폴라리스세원	Sewon	20171020	KOSDAQ	주권	우량기업부	보통주	100	70198985	
2598	KR7039980008	039980	폴라리스에이아이	폴라리스AI	Polaris AI	20020813	KOSDAQ	주권	중견기업부	보통주	500	72778776	
2599	KR7041910001	041910	폴라리스에이아이파마	폴라리스AI파마	Polaris AI Pharma	20040206	KOSDAQ	주권	중견기업부	보통주	500	13501607	
2600	KR7041020009	041020	폴라리스오피스	폴라리스오피스	Polaris Office	20051028	KOSDAQ	주권	벤처기업부	보통주	500	49725498	
2601	KR7114630007	114630	폴라리스우노	폴라리스우노	POLARIS UNO	20100115	KOSDAQ	주권	우량기업부	보통주	500	87947548	
2602	KR7290720002	290720	푸드나무	푸드나무	FOODNAMOO, INC.	20181004	KOSDAQ	주권	투자주의환기종목(소속부없음)	보통주	500	34366855	
2603	KR7005670005	005670	푸드웰	푸드웰	FOODWELL CORPORATION	19931207	KOSDAQ	주권	우량기업부	보통주	500	10000000	
2604	KR7094940004	094940	푸른기술	푸른기술	PULOON TECHNOLOGY INC.	20070914	KOSDAQ	주권	벤처기업부	보통주	500	8361386	
2605	KR7057880007	057880	푸른소나무	푸른소나무	Green pine tree	20031229	KOSDAQ	주권	관리종목(소속부없음)	보통주	500	24580368	
2606	KR7007330004	007330	푸른저축은행	푸른저축은행	PUREUN SAVINGS BANK	19931207	KOSDAQ	주권	우량기업부	보통주	1000	15082800	
2607	KR7093380004	093380	풍강	풍강	PUNGKANG CO.,LTD	20070601	KOSDAQ	주권	중견기업부	보통주	500	9879313	
2608	KR7023900004	023900	풍국주정공업	풍국주정	Pungguk Ethanol	19941123	KOSDAQ	주권	우량기업부	보통주	500	12600000	
2609	KR7371950007	371950	풍원정밀	풍원정밀	POONGWON PRECISION Co.,Ltd.	20220228	KOSDAQ	주권	기술성장기업부	보통주	500	22662548	
2610	KR7370090003	370090	퓨런티어	퓨런티어	Furonteer Inc.	20220223	KOSDAQ	주권	기술성장기업부	보통주	500	8556830	
2611	KR7445180003	445180	퓨릿	퓨릿	Purit Co., Ltd.	20231018	KOSDAQ	주권	중견기업부	보통주	500	17189188	
2612	KR7220100002	220100	퓨쳐켐	퓨쳐켐	FutureChem Co., Ltd.	20161201	KOSDAQ	주권	기술성장기업부	보통주	500	22427420	
2613	KR7035200005	035200	프럼파스트	프럼파스트	PLUMB FAST CO., LTD.	20020115	KOSDAQ	주권	벤처기업부	보통주	500	9730590	
2614	KR7334970001	334970	프레스티지바이오로직스	프레스티지바이오로직스	Prestige Biologics Co., Ltd.	20210311	KOSDAQ	주권	기술성장기업부	보통주	500	77752637	
2615	KR7227100005	227100	프로브잇	프로브잇	Prove it	20181115	KOSDAQ	주권	관리종목(소속부없음)	보통주	500	24134182	
2616	KR7321260002	321260	프로이천	프로이천	PRO2000	20190531	KOSDAQ	주권	벤처기업부	보통주	100	28192084	
2617	KR7053610002	053610	프로텍	프로텍	PROTEC Co., Ltd.	20010817	KOSDAQ	주권	우량기업부	보통주	500	11000000	
2618	KR7468530001	468530	프로티나	프로티나	PROTEINA CO., LTD.	20250729	KOSDAQ	주권	기술성장기업부	보통주	100	10939480	
2619	KR7303360002	303360	프로티아	프로티아	PROTIA	20230616	KOSDAQ	주권	기술성장기업부	보통주	500	12877215	
2620	KR7377220009	377220	프롬바이오	프롬바이오	From Bio Co., Ltd.	20210928	KOSDAQ	주권	기술성장기업부	보통주	100	28310000	
